Monthly Climate Data Summaries ( por - por )

Station:,SPOKANE INTL AP,State:,WA,ID:,24157
Latitude:,47.62167 degreeN,Longitude:,117.52806 degreeW,Elevation:,2358.0 feet
Station period of record:,maxt: 02/01/1881-10/23/2019; mint: 02/01/1881-10/23/2019; avgt: 02/01/1881-10/23/2019; hdd: 02/01/1881-10/23/2019; cdd: 02/01/1881-10/23/2019; pcpn: 02/01/1881-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1904,NOV,52.2,35.7,44.0,64,04,24,12,0,0,0,0,9,0,0,619,0,0.87,17,1904-11-20,11,6,0,0,0
1904,DEC,38.1,29.0,33.5,47,19,18,26,0,0,4,0,25,0,0,969,0,1.80,80,1904-12-29,12,5,1,0,0
1904,ANNUAL,60.0,39.9,49.92,100,,7,,0,28,17,0,115,0,0,5903,478,13.97,,0.80,112,53,3,0,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1905,JAN,35.5,26.1,30.8,46,24,12,08,0,0,9,0,22,0,0,1053,0,2.12,50,1905-01-27,16,9,1,0,0
1905,FEB,38.6,21.1,29.9,57,27,-7,11,0,0,8,0,21,0,2,974,0,0.56,21,1905-02-19,9,2,0,0,0
1905,MAR,53.4,33.6,43.5,68,16,23,12,0,0,0,0,9,0,0,659,0,1.47,38,1905-03-23,14,5,0,0,0
1905,APR,60.9,38.4,49.6,80,24,27,10,0,0,0,0,3,0,0,451,0,0.91,53,1905-04-19,8,2,1,0,0
1905,MAY,64.5,43.8,54.1,83,31,29,01,0,0,0,0,1,0,0,331,2,1.98,37,1905-05-09,12,8,0,0,0
1905,JUN,71.8,50.5,61.1,82,21,43,15,0,0,0,0,0,0,0,124,15,4.16,65,1905-06-22,13,6,4,1,0
1905,JUL,85.6,56.6,71.1,103,21,46,17,0,9,0,0,0,0,0,11,207,0.06,03,1905-07-27,2,0,0,0,0
1905,AUG,83.3,54.8,69.1,99,07,44,31,0,8,0,0,0,0,0,41,176,0.06,03,1905-08-01,3,0,0,0,0
1905,SEP,72.2,48.8,60.5,91,23,35,29,0,1,0,0,0,0,0,160,32,0.55,23,1905-09-13,7,2,0,0,0
1905,OCT,51.7,33.8,42.8,62,04,18,31,0,0,0,0,16,0,0,684,0,2.56,80,1905-10-07,13,7,1,0,0
1905,NOV,44.1,27.3,35.7,55,09,7,28,0,0,5,0,27,0,0,872,0,0.84,29,1905-11-27,9,3,0,0,0
1905,DEC,34.8,26.3,30.6,41,25,10,31,0,0,7,0,30,0,0,1058,0,1.71,41,1905-12-17,15,6,0,0,0
1905,ANNUAL,58.1,38.5,48.34,103,,-7,,0,18,29,0,129,0,2,6418,432,16.98,,1.65,121,50,7,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1906,JAN,36.3,25.3,30.8,46,23,7,01,0,0,8,0,25,0,0,1052,0,1.69,40,1906-01-12,16,5,0,0,0
1906,FEB,41.2,28.8,35.0,52,21,15,08,0,0,2,0,19,0,0,833,0,1.87,54,1906-02-18,10,6,1,0,0
1906,MAR,46.0,27.4,36.7,65,29,8,15,0,0,4,0,17,0,0,869,0,0.97,25,1906-03-24,9,4,0,0,0
1906,APR,65.3,39.4,52.3,87,21,28,12,0,0,0,0,3,0,0,380,6,0.39,16,1906-04-08,5,2,0,0,0
1906,MAY,66.5,45.1,55.8,89,09,34,05,0,0,0,0,0,0,0,289,11,3.42,01,1906-05-26,12,7,3,1,0
1906,JUN,70.1,47.7,58.9,87,25,40,07,0,0,0,0,0,0,0,196,22,1.02,51,1906-06-27,8,3,1,0,0
1906,JUL,90.8,61.0,75.9,99,06,53,27,0,20,0,0,0,0,0,0,347,0.02,02,1906-07-21,1,0,0,0,0
1906,AUG,82.9,54.0,68.4,98,11,44,20,0,7,0,0,0,0,0,27,140,0.34,25,1906-08-13,2,1,0,0,0
1906,SEP,74.0,47.9,61.0,92,19,36,26,0,1,0,0,0,0,0,158,44,0.62,41,1906-09-12,5,1,0,0,0
1906,OCT,61.6,39.6,50.6,79,09,25,21,0,0,0,0,8,0,0,438,0,0.65,27,1906-10-15,5,3,0,0,0
1906,NOV,41.3,29.6,35.5,58,14,14,28,0,0,8,0,18,0,0,879,0,2.97,63,1906-11-07,18,11,1,0,0
1906,DEC,36.5,28.4,32.4,50,07,18,04,0,0,10,0,22,0,0,1002,0,3.71,59,1906-12-06,23,10,2,0,0
1906,ANNUAL,59.5,39.6,49.55,99,,7,,0,28,32,0,112,0,0,6123,570,17.67,,1.01,114,53,8,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
