Monthly Climate Data Summaries ( por - por )

Station:,SAN FRANCISCO DOWNTOWN,State:,CA,ID:,23272
Latitude:,37.7705 degreeN,Longitude:,122.4269 degreeW,Elevation:,150.0 feet
Station period of record:,maxt: 06/01/1874-10/22/2019; mint: 01/01/1875-10/22/2019; avgt: 01/01/1875-10/22/2019; hdd: 01/01/1875-10/22/2019; cdd: 01/01/1875-10/22/2019; pcpn: 01/01/1875-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,NOV,59.5,50.1,54.8,67,01,45,28,0,0,0,0,0,0,0,299,0,1.98,77,1902-11-09,8,4,2,0,0
1902,DEC,55.3,46.0,50.7,62,07,39,30,0,0,0,0,0,0,0,437,0,2.32,85,1902-12-26,11,4,2,0,0
1902,ANNUAL,60.6,49.9,55.24,83,,38,,32,0,0,0,0,0,0,3205,28,19.18,,1.08,80,48,15,1,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1903,JAN,52.6,43.2,47.9,59,23,37,15,0,0,0,0,0,0,0,520,0,3.73,00,1903-01-27,12,8,3,1,0
1903,FEB,55.2,42.6,48.9,66,26,37,15,0,0,0,0,0,0,0,444,0,1.76,63,1903-02-01,7,5,1,0,0
1903,MAR,56.9,47.5,52.2,64,27,41,16,0,0,0,0,0,0,0,391,0,6.23,30,1903-03-13,16,11,5,2,0
1903,APR,59.9,47.9,53.9,71,08,42,10,1,0,0,0,0,0,0,313,0,0.56,39,1903-04-01,3,2,0,0,0
1903,MAY,61.8,48.6,55.2,77,29,46,22,0,0,0,0,0,0,0,296,0,T,T,1903-05-26,0,0,0,0,0
1903,JUN,M,51.7,M,M,M,48,03,30,M,M,0,0,0,0,M,M,T,T,1903-06-11,0,0,0,0,0
1903,JUL,63.6,50.8,57.2,91,02,48,29,0,1,0,0,0,0,0,252,20,0.00,00,1903-07-31,0,0,0,0,0
1903,AUG,64.0,51.4,57.7,77,31,46,08,1,0,0,0,0,0,0,214,1,T,T,1903-08-14,0,0,0,0,0
1903,SEP,68.4,53.7,61.0,92,09,50,30,0,1,0,0,0,0,0,143,31,T,T,1903-09-29,0,0,0,0,0
1903,OCT,69.1,55.1,62.1,85,12,51,22,0,0,0,0,0,0,0,113,30,0.17,15,1903-10-10,2,1,0,0,0
1903,NOV,60.8,52.4,56.6,67,06,46,16,0,0,0,0,0,0,0,245,0,4.25,39,1903-11-20,11,7,2,1,0
1903,DEC,57.5,47.3,52.4,66,23,42,11,0,0,0,0,0,0,0,385,0,1.63,06,1903-12-16,6,2,1,1,0
1903,ANNUAL,60.9,49.4,55.04,92,,37,,32,2,0,0,0,0,0,3316,82,18.33,,2.39,57,36,12,5,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1904,JAN,56.3,45.3,50.8,65,27,40,21,0,0,0,0,0,0,0,431,0,1.05,59,1904-01-17,5,3,1,0,0
1904,FEB,55.1,46.5,50.8,60,23,40,09,0,0,0,0,0,0,0,407,0,5.89,28,1904-02-12,16,12,3,1,0
1904,MAR,56.7,47.0,51.9,66,31,40,20,0,0,0,0,0,0,0,400,0,6.01,29,1904-03-10,23,14,3,1,0
1904,APR,63.7,50.2,57.0,84,10,44,26,1,0,0,0,0,0,0,247,23,1.29,40,1904-04-19,8,5,0,0,0
1904,MAY,66.1,51.7,58.9,86,08,45,01,0,0,0,0,0,0,0,194,14,0.30,30,1904-05-01,1,1,0,0,0
1904,JUN,M,52.4,M,M,M,48,27,30,M,M,0,0,0,0,M,M,T,T,1904-06-30,0,0,0,0,0
1904,JUL,62.2,52.0,57.1,73,29,50,26,0,0,0,0,0,0,0,237,0,0.02,02,1904-07-15,1,0,0,0,0
1904,AUG,61.8,52.2,57.0,75,30,49,06,1,0,0,0,0,0,0,233,0,0.06,05,1904-08-24,2,0,0,0,0
1904,SEP,71.3,56.6,64.0,101,08,49,05,0,4,0,0,0,1,0,108,84,5.07,09,1904-09-23,5,4,2,2,0
1904,OCT,68.2,55.9,62.0,79,20,52,31,0,0,0,0,0,0,0,105,23,2.31,72,1904-10-11,6,4,3,0,2
1904,NOV,63.3,52.7,58.0,74,09,49,29,0,0,0,0,0,0,0,204,0,1.07,56,1904-11-27,5,3,1,0,0
1904,DEC,55.1,46.1,50.6,61,13,38,20,0,0,0,0,0,0,0,437,0,1.59,43,1904-12-23,10,7,0,0,0
1904,ANNUAL,61.8,50.7,56.19,101,,38,,32,4,0,0,0,1,0,3003,144,24.66,,3.09,82,53,13,4,2

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1905,JAN,55.9,46.5,51.2,63,27,40,06,0,0,0,0,0,0,0,418,0,4.04,94,1905-01-20,10,9,4,0,0
1905,FEB,59.9,48.2,54.0,71,28,42,13,0,0,0,0,0,0,0,298,0,2.70,23,1905-02-01,8,4,2,1,0
1905,MAR,62.8,51.1,57.0,79,07,42,30,0,0,0,0,0,0,0,241,1,3.15,93,1905-03-18,15,8,1,0,0
1905,APR,61.8,51.2,56.5,71,11,49,30,1,0,0,0,0,0,0,238,0,1.33,41,1905-04-21,6,4,0,0,0
1905,MAY,61.2,49.8,55.5,85,15,48,25,0,0,0,0,0,0,0,287,4,2.05,07,1905-05-01,5,3,2,1,0
1905,JUN,M,51.1,M,M,M,49,10,30,M,M,0,0,0,0,M,M,0.00,00,1905-06-30,0,0,0,0,0
1905,JUL,65.7,53.3,59.5,98,07,49,22,0,2,0,0,0,0,0,216,55,0.00,00,1905-07-31,0,0,0,0,0
1905,AUG,63.6,52.9,58.3,73,29,50,27,2,0,0,0,0,0,0,189,0,T,T,1905-08-03,0,0,0,0,0
1905,SEP,67.2,53.5,60.4,87,21,51,20,0,0,0,0,0,0,0,143,11,T,T,1905-09-11,0,0,0,0,0
1905,OCT,68.1,52.8,60.5,84,10,49,30,0,0,0,0,0,0,0,158,22,T,T,1905-10-07,0,0,0,0,0
1905,NOV,62.4,50.0,56.2,74,06,44,28,0,0,0,0,0,0,0,260,1,0.92,33,1905-11-26,6,3,0,0,0
1905,DEC,56.1,45.3,50.7,67,09,39,31,0,0,0,0,0,0,0,437,0,2.05,65,1905-12-20,8,6,1,0,0
1905,ANNUAL,62.2,50.5,56.34,98,,39,,33,2,0,0,0,0,0,2885,94,16.24,,1.23,58,37,10,2,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1906,JAN,57.4,45.9,51.7,68,31,41,29,0,0,0,0,0,0,0,405,0,3.90,00,1906-01-12,10,8,3,1,0
1906,FEB,60.1,50.4,55.3,71,03,46,28,0,0,0,0,0,0,0,266,0,4.30,27,1906-02-14,12,9,4,1,0
1906,MAR,59.5,48.5,54.0,74,08,41,16,0,0,0,0,0,0,0,334,0,5.02,37,1906-03-23,17,10,3,1,0
1906,APR,63.2,49.5,M,76,05,43,28,3,0,0,3,0,0,0,224,1,0.92,51,1906-04-23,4,3,1,0,0
1906,MAY,63.1,49.3,56.2,72,06,42,16,0,0,0,0,0,0,0,263,0,2.75,27,1906-05-27,7,5,2,1,0
1906,JUN,M,51.9,M,M,M,48,22,30,M,M,0,0,0,0,M,M,0.56,23,1906-06-15,5,3,0,0,0
1906,JUL,64.2,50.9,57.5,82,01,49,31,0,0,0,0,0,0,0,224,2,0.08,03,1906-07-16,4,0,0,0,0
1906,AUG,63.7,52.1,57.8,76,14,50,11,2,0,0,0,0,0,0,199,0,0.11,08,1906-08-30,2,0,0,0,0
1906,SEP,67.2,52.7,59.9,82,16,48,30,0,0,0,0,0,0,0,161,18,0.18,12,1906-09-23,3,1,0,0,0
1906,OCT,69.9,53.5,61.7,86,05,47,29,0,0,0,0,0,0,0,136,43,0.03,01,1906-10-29,3,0,0,0,0
1906,NOV,61.8,49.1,55.4,77,13,40,29,0,0,0,0,0,0,0,283,3,1.59,67,1906-11-04,6,3,2,0,0
1906,DEC,54.2,45.0,49.6,61,10,40,02,0,0,0,0,0,0,0,469,0,6.90,44,1906-12-10,15,10,6,1,2
1906,ANNUAL,62.2,49.9,55.92,86,,40,,35,0,0,3,0,0,0,2964,67,26.34,,2.44,88,52,21,5,2

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1907,JAN,51.4,42.8,47.1,61,22,36,13,0,0,0,0,0,0,0,548,0,4.41,73,1907-01-07,21,11,3,0,0
