Monthly Climate Data Summaries ( por - por )

Station:,NY CITY CENTRAL PARK,State:,NY,ID:,94728
Latitude:,40.77898 degreeN,Longitude:,73.96925 degreeW,Elevation:,140.0 feet
Station period of record:,maxt: 01/01/1869-10/23/2019; mint: 01/01/1869-10/23/2019; avgt: 01/01/1869-10/23/2019; hdd: 01/01/1869-10/23/2019; cdd: 01/01/1869-10/23/2019; pcpn: 01/01/1869-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1903,ANNUAL,59.5,46.7,53.13,95,,4,,0,6,29,0,84,2,0,5012,772,58.52,,7.33,115,79,37,14,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1904,JAN,31.1,19.5,25.3,54,23,-4,05,0,0,15,0,29,0,2,1224,0,2.97,72,1904-01-02,11,7,3,0,0
1904,FEB,32.7,17.3,25.0,53,07,2,16,0,0,15,0,28,0,0,1151,0,2.21,97,1904-02-22,9,5,2,0,0
1904,MAR,42.7,29.7,36.2,65,26,15,05,0,0,3,0,20,0,0,881,0,3.57,48,1904-03-07,13,7,2,1,0
1904,APR,53.5,40.0,46.8,72,25,27,20,0,0,0,0,6,0,0,537,0,3.80,10,1904-04-27,11,7,3,1,0
1904,MAY,72.5,55.9,64.2,89,26,46,12,0,0,0,0,0,0,0,81,65,1.88,63,1904-05-31,5,4,2,0,0
1904,JUN,78.7,62.8,70.7,93,26,53,11,0,3,0,0,0,1,0,28,205,2.95,47,1904-06-30,12,10,0,0,0
1904,JUL,82.1,68.4,75.2,94,19,59,03,0,5,0,0,0,0,0,0,327,4.95,98,1904-07-11,14,9,4,0,0
1904,AUG,79.8,66.4,73.1,88,01,55,27,0,0,0,0,0,1,0,1,260,7.85,63,1904-08-20,11,9,5,2,0
1904,SEP,73.8,60.7,67.2,86,12,41,22,0,0,0,0,0,0,0,45,117,4.31,99,1904-09-14,6,4,2,2,0
1904,OCT,60.9,47.0,54.0,79,11,32,31,0,0,0,0,1,0,0,339,8,2.99,41,1904-10-12,8,4,2,2,0
1904,NOV,47.9,36.9,42.4,60,03,23,28,0,0,1,0,5,0,0,670,0,2.20,32,1904-11-13,9,5,1,1,0
1904,DEC,35.3,25.0,30.2,51,28,12,11,0,0,11,0,28,0,0,1072,0,1.96,62,1904-12-27,13,7,1,0,0
1904,ANNUAL,57.7,44.2,50.94,94,,-4,,0,8,45,0,117,2,2,6029,982,41.64,,3.63,122,78,27,9,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1905,JAN,34.9,23.6,29.2,53,01,4,26,0,0,13,0,25,0,0,1100,0,2.77,91,1905-01-07,10,6,2,0,0
1905,FEB,31.2,18.3,24.8,41,21,6,16,0,0,13,0,27,0,0,1118,0,2.01,75,1905-02-06,6,3,2,0,0
1905,MAR,47.6,33.5,40.5,73,29,14,05,0,0,2,0,13,0,0,748,0,3.49,27,1905-03-21,13,8,2,1,0
1905,APR,57.3,43.1,50.2,75,21,33,17,0,0,0,0,0,0,0,435,0,2.39,09,1905-04-05,10,7,1,1,0
1905,MAY,68.9,54.1,61.5,81,07,41,02,0,0,0,0,0,0,0,141,39,0.72,22,1905-05-14,5,4,0,0,0
1905,JUN,77.9,62.4,70.2,91,18,52,08,0,1,0,0,0,1,0,25,187,3.77,18,1905-06-22,9,8,2,2,0
1905,JUL,84.2,71.3,77.7,96,18,63,27,0,7,0,0,0,8,0,0,402,3.05,12,1905-07-30,13,8,1,1,0
1905,AUG,80.7,69.0,74.9,92,11,60,28,0,3,0,0,0,5,0,0,315,4.81,24,1905-08-15,11,10,3,2,0
1905,SEP,75.8,63.7,69.8,88,30,47,26,0,0,0,0,0,0,0,34,185,5.84,47,1905-09-03,8,6,3,2,0
