Monthly Climate Data Summaries ( por - por )

Station:,SALEM AP (MCNARY FIELD),State:,OR,ID:,24232
Latitude:,44.905 degreeN,Longitude:,123.0011 degreeW,Elevation:,205.0 feet
Station period of record:,maxt: 01/01/1893-10/23/2019; mint: 01/01/1893-10/23/2019; avgt: 01/01/1893-10/23/2019; hdd: 01/01/1893-10/23/2019; cdd: 01/01/1893-10/23/2019; pcpn: 01/01/1893-10/23/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1906,JUN,68.4,50.6,59.5,86,24,44,07,0,0,0,0,0,0,0,167,11,2.50,83,1906-06-15,13,8,1,0,0
1906,JUL,86.3,57.6,72.0,100,12,51,18,0,9,0,0,0,0,0,2,224,T,T,1906-07-28,0,0,0,0,0
1906,AUG,82.5,54.4,68.5,92,26,46,18,0,4,0,0,0,0,0,9,122,T,T,1906-08-22,0,0,0,0,0
1906,SEP,72.5,51.3,61.9,84,19,42,11,0,0,0,0,0,0,0,109,23,1.92,74,1906-09-12,6,4,2,0,0
1906,OCT,63.7,46.5,55.1,80,08,33,21,0,0,0,0,0,0,0,297,0,2.38,47,1906-10-16,14,8,0,0,0
1906,NOV,52.4,41.8,47.1,64,14,27,28,0,0,0,0,7,0,0,530,0,5.99,61,1906-11-07,20,13,3,1,0
1906,DEC,48.5,39.3,43.9,58,07,28,04,0,0,0,0,3,0,0,646,0,4.65,94,1906-12-25,21,14,2,0,0
1906,ANNUAL,63.3,45.5,54.42,100,,24,,0,13,0,0,30,0,0,4158,387,34.01,,1.61,149,92,18,2,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1907,JAN,41.2,30.5,35.9,52,31,12,15,0,0,4,0,15,0,0,895,0,8.01,51,1907-01-03,14,11,5,3,0
1907,FEB,53.6,40.0,47.0,60,08,32,18,2,0,0,1,2,0,0,444,0,4.34,25,1907-02-04,9,8,3,1,0
1907,MAR,53.0,38.4,45.7,66,30,31,03,0,0,0,0,2,0,0,591,0,2.88,60,1907-03-17,14,9,2,0,0
