Monthly Climate Data Summaries ( por - por )

Station:,LEXINGTON BLUEGRASS AP,State:,KY,ID:,93820
Latitude:,38.0408 degreeN,Longitude:,84.6058 degreeW,Elevation:,980.0 feet
Station period of record:,maxt: 10/11/1872-10/22/2019; mint: 10/11/1872-10/22/2019; avgt: 10/11/1872-10/22/2019; hdd: 10/11/1872-10/22/2019; cdd: 10/11/1872-10/22/2019; pcpn: 10/11/1872-10/22/2019

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1901,MAR,53.4,34.3,43.8,76,25,4,06,0,0,2,0,14,0,0,652,2,2.23,16,1901-03-10,11,5,1,1,0
1901,APR,57.1,41.0,49.0,84,30,30,21,0,0,0,0,4,0,0,480,8,4.52,06,1901-04-19,11,8,4,1,0
1901,MAY,72.1,53.5,62.8,87,05,45,27,0,0,0,0,0,0,0,126,67,2.67,34,1901-05-21,12,5,1,1,0
1901,JUN,83.4,64.3,73.9,94,30,46,08,0,8,0,0,0,0,0,18,295,3.70,23,1901-06-21,14,6,4,1,0
1901,JUL,91.4,69.2,80.3,102,22,55,08,0,20,0,0,0,3,0,0,484,2.61,14,1901-07-30,7,5,2,1,0
1901,AUG,82.2,65.8,74.0,92,10,61,31,0,3,0,0,0,0,0,0,289,3.74,65,1901-08-26,17,10,1,0,0
1901,SEP,76.4,57.6,67.0,89,08,40,19,0,0,0,0,0,0,0,64,131,2.18,21,1901-09-12,7,5,1,1,0
1901,OCT,68.9,46.9,57.9,79,23,36,18,0,0,0,0,0,0,0,220,8,1.33,93,1901-10-12,5,3,1,0,0
1901,NOV,48.8,31.6,40.2,74,03,22,05,0,0,1,0,19,0,0,737,0,1.73,73,1901-11-12,5,3,2,0,0
1901,DEC,38.9,23.5,31.2,68,13,-8,15,0,0,9,0,21,0,4,1042,0,3.49,32,1901-12-14,16,8,2,1,0
1901,ANNUAL,62.8,44.8,53.81,102,,-8,,0,31,28,0,106,3,4,5273,1284,30.31,,2.06,121,64,20,7,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1902,JAN,39.9,24.8,32.3,60,09,8,28,0,0,6,0,27,0,0,1006,0,4.77,87,1902-01-29,9,5,4,2,0
1902,FEB,31.5,18.5,25.0,57,28,3,05,0,0,17,0,23,0,0,1114,0,0.90,26,1902-02-12,10,3,0,0,0
1902,MAR,52.8,36.6,44.7,71,11,10,18,0,0,2,0,9,0,0,620,0,2.92,78,1902-03-12,11,8,2,0,0
1902,APR,62.0,43.1,52.5,85,25,22,08,0,0,0,0,5,0,0,386,22,1.27,31,1902-04-29,10,4,0,0,0
1902,MAY,78.3,58.1,68.2,89,20,40,28,0,0,0,0,0,0,0,60,165,2.43,63,1902-05-20,12,7,2,0,0
1902,JUN,80.1,62.2,71.2,92,12,50,09,0,4,0,0,0,0,0,16,210,5.19,25,1902-06-27,12,8,4,2,0
1902,JUL,86.2,67.3,76.7,96,17,58,22,0,12,0,0,0,1,0,0,369,2.33,13,1902-07-19,7,4,2,1,0
1902,AUG,83.5,64.0,73.7,93,03,55,24,0,3,0,0,0,0,0,0,280,1.89,66,1902-08-21,7,6,1,0,0
1902,SEP,76.3,57.8,67.0,86,23,40,13,0,0,0,0,0,0,0,47,114,2.60,68,1902-09-24,10,6,2,0,0
1902,OCT,68.8,49.5,59.1,80,25,34,29,0,0,0,0,0,0,0,190,19,2.11,24,1902-10-11,6,4,1,1,0
1902,NOV,59.9,45.2,52.5,75,11,28,30,0,0,0,0,3,0,0,368,2,3.09,71,1902-11-24,12,7,4,0,0
1902,DEC,41.1,27.4,34.2,60,02,9,26,1,0,8,1,21,0,0,883,0,6.60,75,1902-12-15,17,10,5,2,0
1902,ANNUAL,63.6,46.4,55.06,96,,3,,1,19,33,1,88,1,0,4690,1181,36.10,,1.87,123,72,27,8,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1903,JAN,39.3,24.9,32.1,67,29,4,12,0,0,8,0,24,0,0,1015,0,1.68,48,1903-01-11,14,6,0,0,0
1903,FEB,44.0,27.3,35.7,65,02,-3,19,0,0,6,0,19,0,3,814,0,6.16,91,1903-02-15,14,9,4,1,0
1903,MAR,57.9,42.8,50.4,76,19,24,01,0,0,1,0,6,0,0,450,4,3.24,93,1903-03-30,17,7,1,0,0
1903,APR,62.5,44.3,53.4,80,29,25,05,0,0,0,0,2,0,0,352,13,3.29,60,1903-04-13,17,9,3,0,0
1903,MAY,77.3,58.1,67.7,87,26,34,01,0,0,0,0,0,0,0,74,162,1.75,47,1903-05-20,7,6,0,0,0
1903,JUN,76.1,59.3,67.7,87,30,42,13,0,0,0,0,0,0,0,35,121,2.71,91,1903-06-06,15,8,1,0,0
1903,JUL,85.5,67.8,76.6,94,28,58,14,0,11,0,0,0,2,0,0,366,2.62,82,1903-07-30,11,5,2,0,0
1903,AUG,83.5,65.2,74.3,93,24,56,31,0,5,0,0,0,2,0,2,299,1.49,60,1903-08-05,9,3,1,0,0
1903,SEP,81.2,58.5,69.9,92,07,40,18,0,5,0,0,0,0,0,53,208,0.81,48,1903-09-10,5,2,0,0,0
1903,OCT,66.4,47.4,56.9,86,04,28,24,0,0,0,0,3,0,0,285,40,2.12,85,1903-10-05,7,4,2,0,0
1903,NOV,47.8,32.3,40.0,71,03,12,27,0,0,7,0,15,0,0,740,0,2.84,19,1903-11-04,10,6,2,1,0
1903,DEC,36.3,20.7,28.5,51,12,4,26,0,0,10,0,30,0,0,1124,0,1.99,86,1903-12-20,9,5,2,0,0
1903,ANNUAL,63.3,45.8,54.55,94,,-3,,0,21,32,0,99,4,3,4944,1213,30.70,,1.91,135,70,18,2,0

Year,Month,maxt,mint,avgt,HI,HI Dt,LO,LO Dt,max msg,maxt >=90,maxt <=32,min msg,mint >=75,mint <=32,mint <=0,HDD,CDD,Mly Prec,1d Max,1d Max Dt,Rain Days,>=0.1,>=0.5,>=1.0,PCPN msg
1904,JAN,37.5,21.6,29.6,61,22,2,27,0,0,11,0,28,0,0,1091,0,1.92,55,1904-01-22,13,8,1,0,0
1904,FEB,40.0,22.4,31.2,67,29,5,16,0,0,10,0,23,0,0,972,0,2.38,20,1904-02-07,9,5,1,1,0
1904,MAR,55.3,36.0,45.6,77,22,19,04,0,0,2,0,13,0,0,596,4,4.75,27,1904-03-26,19,11,2,1,0
1904,APR,56.5,39.0,47.8,76,23,27,20,0,0,0,0,9,0,0,512,2,3.08,26,1904-04-26,15,6,2,1,0
1904,MAY,73.4,54.2,63.8,89,25,40,15,0,0,0,0,0,0,0,117,89,2.60,59,1904-05-30,14,9,1,0,0
1904,JUN,80.6,62.9,71.7,88,25,54,09,0,0,0,0,0,0,0,5,214,2.51,72,1904-06-26,17,7,1,0,0
1904,JUL,83.5,64.3,73.9,92,18,55,02,0,4,0,0,0,0,0,0,284,3.13,15,1904-07-28,13,6,2,1,0
1904,AUG,83.3,65.2,74.2,90,25,54,27,0,1,0,0,0,0,0,0,294,2.44,21,1904-08-10,11,5,1,1,0
1904,SEP,79.2,59.7,69.5,90,11,43,15,0,1,0,0,0,0,0,32,173,1.71,52,1904-09-19,8,5,1,0,0
